price,description,lien_produit,name,image_url,regular_price,discount,stock_availability,brand,category,offre,garantie
699.0,"Écran 15.6"" HD - Processeur: Intel Celeron N4020 (1,10 GHz up to 2.80 GHz, 4Mo de mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 4 Go DDR4-2400 - Disque Dur: 256 Go SSD - Carte Graphique: Intel UHD 600 Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combo casque/microphone (3,5 mm) et lecteur de carte - Couleur: Gris - Garantie: 1 an",https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-4go-256g-ssd-gris.html,PC Portable LENOVO IdeaPad 1 15IGL7 Intel Celeron N4020 4Go 256G SSD - Gris,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4020-4go-256g-ssd-gris.jpg,775.0,-76.0,En stock,lenovo,Pc Portable,N/A,12
725.0,"Ecran 15.6"" Full HD - Processeur: AMD Athlon Silver 7120U (2,4 GHz up to 3.5 GHz Turbo max, L2: 1 Mo / L3: 2 Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8Go - Disque Dur: 256Go SSD - Carte Graphique: AMD Radeon™ 610M intégrée avec Wifi, Bluetooth, 2x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Couleur: Noir - Garantie: 1 an",https://www.mytek.tn/pc-portable-lenovo-v15-g4-amn-amd-athlon-8go-256go-ssd-noir.html,PC Portable LENOVO V15 G4 AMN AMD Athlon 8Go 256Go SSD - Noir,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-v15-g4-amn-amd-athlon-8go-256go-ssd-noir.jpg,795.0,-70.0,En stock,lenovo,Pc Portable,N/A,12
729.0,"Ecran 15.6"" Full HD - Processeur: AMD Athlon Silver 7120U (2,4 GHz up to 3.5 GHz Turbo max, L2: 1 Mo / L3: 2 Mo de mémoire cache, Dual-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8Go - Disque Dur: 256Go SSD - Carte Graphique: AMD Radeon™ 610M intégrée avec Wifi, Bluetooth, 2x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm), 1x connecteur d'alimentation - Couleur: Noir - Garantie: 1 an",https://www.mytek.tn/pc-portable-lenovo-v15-g4-amn-amd-athlon-8g-256go-ssd-noir.html,PC Portable LENOVO V15 G4 AMN AMD Athlon 8G 256Go SSD - Noir,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-v15-g4-amn-amd-athlon-8g-256go-ssd-noir-t.jpg,795.0,-66.0,En stock,lenovo,Pc Portable,N/A,12
769.0,"Écran 15.6"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire: 4 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel UHD Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise adaptateur secteur Smart Pin, 1 prise combinée casque/microphone - Clavier complet gris clair avec pavé numérique - Couleur: Silver & Bleu - Garantie: 1 an",https://www.mytek.tn/pc-portable-hp-15-fd0029nk-intel-n100-4go-256go-ssd-silver-bleu.html,PC Portable HP 15-fd0029nk Intel N100 4Go 256Go SSD - Silver & Bleu,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0029nk-intel-n100-4go-256go-ssd-silver-bleu-4_1.jpg,889.0,-120.0,En arrivage,hp,Pc Portable,N/A,12
769.0,"Écran 15.6"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire: 4 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel UHD Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise adaptateur secteur Smart Pin, 1 prise combinée casque/microphone - Clavier complet gris clair avec pavé numérique - Couleur: Silver & Or Chaud - Garantie: 1 an",https://www.mytek.tn/pc-portable-hp-15-fd0028nk-intel-n100-4go-256go-ssd-silver-or-chaud.html,PC Portable HP 15-fd0028nk Intel N100 4Go 256Go SSD - Silver & Or Chaud,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0028nk-intel-n100-4go-256go-ssd-silver-or-chaud-i.jpg,889.0,-120.0,En stock,hp,Pc Portable,N/A,12
769.0,"Écran 15.6"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire: 4 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel UHD Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise adaptateur secteur Smart Pin, 1 prise combinée casque/microphone - Clavier de grande taille avec pavé numérique - Couleur: Gris - Garantie: 1 an",https://www.mytek.tn/pc-portable-hp-15-fd0030nk-intel-n100-4go-256go-ssd-gris.html,PC Portable HP 15-fd0030nk Intel N100 4Go 256Go SSD - Gris,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0030nk-intel-n100-4go-256go-ssd-gris.jpg,869.0,-100.0,En stock,hp,Pc Portable,N/A,12
769.0,"Écran 14.1"" HD - Processeur: Intel Core i3-10110U (2.10 GHz up to 4.10 GHz Turbo max, 4Mo Mémoire cache, Dual-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8Go DDR4 - Disque Dur: 256Go SSD - Carte Graphique: Intel UHD Graphics avec Wifi, Bluetooth, 1x USB 3.0, 1x USB 2.0, 1x USB 3.1 (Type-C), 1x Mini HDMI, 1x Prise stéréo 3,5 mm et Micro SD Card - Couleur: Noir - Garantie: 1 an",https://www.mytek.tn/pc-portable-thomson-neo-14-i3-10e-gen-8go-256go-ssd-noir.html,PC Portable THOMSON NEO 14 i3 10è Gén 8Go 256Go SSD - Noir,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-thomson-neo-14-i3-10e-gen-8go-256go-ssd-noir.jpg,799.0,-30.0,En arrivage,thomson,Pc Portable,N/A,12
779.0,"Écran 15.6"" Full HD - Processeur: Intel® N100 (Up to 3,40 GHz Turbo max, 6 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire: 4 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel UHD Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise adaptateur secteur Smart Pin, 1 prise combinée casque/microphone - Clavier de grande taille avec pavé numérique - Couleur: Gris - Garantie: 1 an",https://www.mytek.tn/pc-portable-hp-15-fd0030nk-intel-n100-4g-256go-ssd-gris.html,PC Portable HP 15-fd0030nk Intel N100 4G 256Go SSD - Gris,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0030nk-intel-n100-4g-256go-ssd-gris.jpg,899.0,-120.0,En stock,hp,Pc Portable,N/A,12
9.9,Sac à Goûter SPIDERMAN 030- Conception robuste et légère - Finition très soignée - Fermeture à glissière - Contient un grande poche centrale - Matériau: Polyester - convient idéalement aux Garçon de la maternelle à l entrée au primaire - Couleur: Bleu ,https://www.mytek.tn/sac-a-gouter-spiderman-030-bleu.html,Sac à Goûter SPIDERMAN 030 - Bleu,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/s/a/sac-goutee-030.jpg,0.0,0.0,En stock,sans-fabricant,Sac à Goûter,N/A,
0.7,Sticker Autocollant Arabisée Pour les touches de clavier pc Portable,https://www.mytek.tn/sticker-arabisee-pour-clavier.html,Sticker Arabisée pour clavier,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/s/t/sticker-arabisee-pour-clavier.jpg,0.0,0.0,En stock,sans-fabricant,Accessoires Divers,N/A,
